Rosa Henderson	Vocalion 15044 (1177)	Get It Fixed 20-3-1925		176	L	1484047568
Ross De Luxe Syncopators	1920s	Don't You Wanna Know 22-8-1927		160	L	1484048067
Royal Troubadours	Harmony  346-H	Muddy Water 13-1-1927		177	L	1484048219
Rube Bloom Bayou Boys	1920s	Bessie Couldn't Help It 9-4-1930		196	L	1484048307
Rube Bloom Bayou Boys	1920s	On Revival Day 24-5-1930		193	L	1484048495
Rube Bloom piano solo	Parlophone R 3446	Dancing Tambourine (piano solo) 2-7-1927		177	L	1484048592
Rudy Starita	Piccadilly 680	Harlequinade (Cabaret Four) (vocal - Jimmy Allen) 1-9-1930		175	L	1484048763
Rudy Vallee	1920s	Deep Night 6-2-1929		199	L	1484048929
Rudy Vallee	1920s	Honey 2-7-1929		205	L	1484049121
Rudy Wiedoeft's Californians	Vocalion 14665	Il Trovatore (Verdi) 1923	3	183	L	1484049244
Rudy Wiedoeft's Californians	Edison 51020 L	Rose Of Bombay 16-6-1922	6	213	L	1484049419
Rudy Wiedoeft's Californians	Vocalion 14348 B	Swanee Bluebird -4-1922 Vocalion	2	158	L	1484049625
Ruth Etting	1920s	I'm Nobody's Baby 1-3-1927		174	L	1484049738
Sam Lanin	Pathe 36768	Back In Your Own Back Yard (Doc Ross Hotel Rice Orchestra) 1-2-1928		171	L	1484049904
Sam Lanin	1920s	Gorgeous (Vaughn deLeath-vocal) 14-6-1927		167	L	1484050067
Sam Lanin	1920s	I Got Rhythm (vocal - Irving Kaufman) 19-12-1930		173	L	1484050227
Sam Lanin	1920s	I Gotta Get Myself Somebody To Love 6-1-1927		184	L	1484050314
Sam Lanin	Okeh 40996	I'm Always Smiling 15-2-1928		181	L	1484050490
Sam Lanin	1920s	I Must Have That Man (Broadway Broadcasters) -11-1928		171	L	1484050662
Sam Lanin	1920s	Liza 9-7-1929		177	L	1484053325
Sam Lanin	Gennett  9427	Love Tales 15-6-1923		171	L	1484053493
Sam Lanin	Okeh 40977	Man I Love 9-12-1927		185	L	1484053655
Sam Lanin	Pathe  20494	Na Jo (+ Rudy Wiedoeft) -1-1921	10	170	L	1484053832
Sam Lanin	1920s	Rose Of Mandalay (Bing Crosby-vocal) 28-12-1928		146	L	1484053994
Sam Lanin	1920s	Sob Sister Sadie (Melody Sheiks) 11-2-1925		153	L	1484054133
